Alpha,Alpha_Ganite,Loss YCF Ganite,ATE YCF Ganite,ACC YCF Ganite
0.0,-50,0.6504647831632749,0.00393691545926389,0.725506072874494
0.0,-40,0.6296217335508483,0.005548956929783966,0.7781376518218623
0.0,-30,0.6107087313440844,0.007152649035869096,0.7676113360323886
0.0,-20,0.5924379433768219,0.008687611043473153,0.7935222672064778
0.0,-10,0.544158390411875,0.011922975347400222,0.8064777327935223
0.0,-9,0.5069851786557535,0.012452280642553215,0.8080971659919028
0.0,-8,0.4939984393105776,0.009794065083517045,0.8064777327935223
0.0,-7,0.46104508439870295,0.008352208869273126,0.8145748987854251
0.0,-6,0.43158148385848166,0.005452442505325061,0.8161943319838056
0.0,-5,0.40347847823440397,0.001511034466462835,0.8267206477732794
0.0,-4,0.3759936174934749,-0.0031594201909753705,0.8299595141700404
0.0,-3,0.34906183123730283,-0.008364234733183207,0.8477732793522267
0.0,-2,0.32307214367875725,-0.013946205712561499,0.8639676113360324
0.0,-1,0.6026021060866517,-0.006576423315700297,0.7797570850202429
0.0,0,0.5899063708613409,-0.007614680784547467,0.7838056680161943
0.0,1,0.5784519938017739,-0.008537067107551033,0.7813765182186235
0.0,2,0.5673552444424802,-0.009373248313054194,0.7854251012145749
0.0,3,0.5307508179965352,-0.011913888723113664,0.8024291497975709
0.0,4,0.49751441527632373,-0.014332435372404806,0.8121457489878543
0.0,5,0.46791464561219337,-0.01627270269736819,0.8121457489878543
0.0,6,0.4404853690120869,-0.017697453241176053,0.8178137651821862
0.0,7,0.4142536272254887,-0.018678088404701254,0.8267206477732794
0.0,8,0.3886417029489779,-0.019306628961019312,0.8340080971659919
0.0,9,0.363446265843443,-0.019639866735857048,0.8421052631578947
0.0,10,0.33880760021718387,-0.019682611351201196,0.8437246963562753
0.0,20,0.3151021147643212,-0.01941527151508421,0.8607287449392712
0.0,30,0.5997809448555635,0.00731243694991246,0.7360323886639676
0.0,40,0.5873086349227327,0.008475484850021753,0.751417004048583
0.0,50,0.5751164466921601,0.009564893962013377,0.7708502024291498
0.033,-50,0.5629824324100824,0.010575655892600955,0.7829959514170041
0.033,-40,0.5301768240522043,0.0126588936480726,0.8024291497975709
0.033,-30,0.5010436908836581,0.013189172520334469,0.8
0.033,-20,0.4742341692701291,0.012182484727941312,0.8089068825910931
0.033,-10,0.4485925559006784,0.00985474322873664,0.8129554655870446
0.033,-9,0.42329130338276844,0.0064694183876391476,0.8226720647773279
0.033,-8,0.3978216810977797,0.0022417890805047636,0.8242914979757086
0.033,-7,0.37204287096822514,-0.002688711418384282,0.8307692307692308
0.033,-6,0.34622888669069846,-0.008220988740981927,0.854251012145749
0.033,-5,0.32098773029821676,-0.014225677880166154,0.8631578947368421
0.033,-4,0.8197071003006989,-0.002687014173080149,0.3805668016194332
0.033,-3,0.7876771175121039,-0.0031379103459354685,0.3805668016194332
0.033,-2,0.7614486378378491,-0.0036083266226367705,0.3805668016194332
0.033,-1,0.7384345672971808,-0.004148047481618677,0.3805668016194332
0.033,0,0.6543468598689326,-0.007970078737488673,0.41862348178137654
0.033,1,0.5427283344454706,-0.016072109898101594,0.7967611336032389
0.033,2,0.4748616031486714,-0.022679295077960404,0.8275303643724696
0.033,3,0.4210307837157464,-0.027248132088817434,0.8631578947368421
0.033,4,0.38555727800049006,-0.026341437707708304,0.8518218623481781
0.033,5,0.39661837432017816,-0.02151407099776148,0.8493927125506073
0.033,6,0.3647980033727397,-0.02328549983657041,0.8550607287449393
0.033,7,0.33681528575535313,-0.025094218327053552,0.8688259109311741
0.033,8,0.3118337019313535,-0.026728806101835145,0.8793522267206477
0.033,9,0.7772334398198673,0.0028116777841881158,0.37165991902834006
0.033,10,0.7532322969948418,0.00270716184946751,0.37165991902834006
0.033,20,0.7324860502769948,0.0025860339184883285,0.37165991902834006
0.033,30,0.7114397019522255,0.002479565755122093,0.37165991902834006
0.033,40,0.5970644652701553,0.005032814025247245,0.7352226720647773
0.033,50,0.5161528138340871,0.006612945010026516,0.8161943319838056
0.066,-50,0.4613855227979849,0.0035418320504559953,0.8251012145748988
0.066,-40,0.41424601268338107,0.0030967195965365124,0.8469635627530364
0.066,-30,0.38802345973760594,0.0028117904280623995,0.8437246963562753
0.066,-20,0.39803911829043026,0.005213800186602002,0.8380566801619433
0.066,-10,0.36815744325906924,0.0021305248394763443,0.8510121457489879
0.066,-9,0.3405629413840504,-0.0018334282050995188,0.8582995951417004
0.066,-8,0.3150643728118557,-0.0059939129321477935,0.8655870445344129
0.066,-7,0.580280722885696,-0.008343430819106046,0.7813765182186235
0.066,-6,0.5666890421029275,-0.009617714384812237,0.7919028340080971
0.066,-5,0.5534447805776301,-0.01086146332505894,0.7983805668016194
0.066,-4,0.5403054915503823,-0.012087732648493388,0.8129554655870446
0.066,-3,0.5050518129742964,-0.015223746355776113,0.8299595141700404
0.066,-2,0.47425019139088387,-0.017543873715922975,0.8323886639676114
0.066,-1,0.4465039913981227,-0.019093896624885087,0.8388663967611336
0.066,0,0.4205756836585703,-0.0200261985543696,0.8421052631578947
0.066,1,0.3955736996421718,-0.020513023557800547,0.8493927125506073
0.066,2,0.37096404781432163,-0.020691535649786708,0.8566801619433199
0.066,3,0.34659309208394473,-0.020634544360975116,0.8639676113360324
0.066,4,0.3226730264413818,-0.02035315705070867,0.8696356275303644
0.066,5,0.29965662948032795,-0.0198353424740082,0.8769230769230769
0.066,6,0.7839121392284251,0.0001639063046526834,0.3797570850202429
0.066,7,0.7581846490215965,-0.00015169839964146448,0.3797570850202429
0.066,8,0.7363922709185081,-0.0004978721710577894,0.3797570850202429
0.066,9,0.7162694703489342,-0.0009261427318782989,0.3797570850202429
0.066,10,0.6086297673781537,-0.0028344762751449926,0.6793522267206478
0.066,20,0.5197329917345503,-0.0046494388772793105,0.7870445344129555
0.066,30,0.4624268732501064,-0.008914496902971303,0.8097165991902834
0.066,40,0.41573400348222556,-0.012043808167484571,0.8307692307692308
0.066,50,0.3861967471645246,-0.011493901772890225,0.8299595141700404
0.1,-50,0.40210946676626896,-0.008690615514037936,0.8259109311740891
0.1,-40,0.37265213553714654,-0.01132278213122817,0.8356275303643724
0.1,-30,0.3452255839953803,-0.014557149841217976,0.8493927125506073
0.1,-20,0.3197788771321422,-0.017873459113403878,0.8615384615384616
0.1,-10,0.8220947576258834,-0.0008594253061873225,0.3781376518218624
