Alpha,Alpha_Ganite,Loss YCF Ganite,ATE YCF Ganite,ACC YCF Ganite
0.0,-50,1.3478845117247016,-0.002415389658534328,0.349
0.0,-40,1.1460279586438886,-0.0015870062172647637,0.349
0.0,-30,1.0440068618134732,-0.0008972941161059789,0.349
0.0,-20,0.9729113949741218,-0.00034101629490707053,0.349
0.0,-10,0.8439314340610512,0.0005890344194004471,0.349
0.0,-9,0.7674225365473415,0.0009186648945067044,0.349
0.0,-8,0.7110397101396938,0.0014132010477757584,0.4475
0.0,-7,0.6575121237233472,0.004092885779106714,0.619
0.0,-6,0.622957867342179,0.007029419419137595,0.666
0.0,-5,0.6006279325141358,0.010771015022814745,0.674
0.0,-4,0.5850683254458116,0.0176256289000446,0.669
0.0,-3,0.5776096848675475,0.025222783471446575,0.67
0.0,-2,0.5754984921131395,0.03224166288170549,0.665
0.0,-1,0.6348610179739421,0.05680104386966067,0.677
0.0,0,0.6220415261377366,0.054225925153587706,0.681
0.0,1,0.6112291843241804,0.051283519096694596,0.6835
0.0,2,0.6019189944667056,0.04798114004872145,0.685
0.0,3,0.5821667465641621,0.03773792024985467,0.689
0.0,4,0.5754307352688248,0.032918774548558294,0.686
0.0,5,0.573505565823199,0.031789842852978256,0.68
0.0,6,0.5725924544458068,0.031464508072512665,0.675
0.0,7,0.5723430119531485,0.0314253782207794,0.679
0.0,8,0.5726195135995841,0.03152183883438775,0.675
0.0,9,0.5733042661589989,0.031700884835891396,0.6725
0.0,10,0.5742933160032189,0.03194308648790822,0.669
0.0,20,0.5754984921131395,0.03224166288170549,0.665
0.0,30,1.359022834192897,-0.0019219760070727232,0.349
0.0,40,1.15163014861057,-0.0010887526072909381,0.349
0.0,50,1.0481249139984898,-0.00044571962974998547,0.349
0.033,-50,0.9762396543978519,5.3689341009799385e-05,0.349
0.033,-40,0.8460338657847042,0.000841395759188901,0.349
0.033,-30,0.768911320382075,0.0010736743030064222,0.349
0.033,-20,0.7126351555365522,0.0014903973954612515,0.4355
0.033,-10,0.6586761010974693,0.004181272618592247,0.6195
0.033,-9,0.6234502238820908,0.007209880910198141,0.6675
