Alpha,Loss YCF Y,ATE YCF Y,ACC YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,ACC YCF MANUAL,Loss YCF RAND,ATE YCF RAND,ACC YCF RAND
0.0,0.6447777315272771,0.00039486050278148,0.651,0.6513895517195326,9.866879034192699e-05,0.651,0.6978213776944971,-9.102600862787025e-06,0.349
0.033,0.644342273504481,0.00041815966352010125,0.651,0.6510137139287209,0.00012622551848628927,0.651,0.6907367852168347,9.10740689830103e-06,0.651
0.066,0.6439484337342436,0.00044180971236995603,0.651,0.650625487701837,0.00015455211653647716,0.651,0.6844957752851686,2.6691455411009812e-05,0.651
0.1,0.6435795918806387,0.0004665175316069803,0.651,0.6502139219443059,0.00018450569501682335,0.651,0.678826023667398,4.4847047158680375e-05,0.651
0.2,0.6426596360445721,0.0005409378924673414,0.651,0.6489470525741845,0.0002768072330199267,0.651,0.6657158486795408,0.00010359738345344649,0.651
0.3,0.6419036832713668,0.0006174452656217966,0.651,0.6476159050946063,0.00037479788415506476,0.651,0.6565635276536664,0.00017753825685062896,0.651
0.4,0.6412395379136785,0.0006954049992856648,0.651,0.6462399571087302,0.00047780915804018775,0.651,0.6501598069272508,0.00027168910345620745,0.651
0.5,0.640622884104758,0.0007742514698918512,0.651,0.6448334201797773,0.0005852177888625576,0.651,0.6456943359448573,0.0003871934031077773,0.651
0.6,0.6400276307777215,0.0008535052377742769,0.651,0.6434071109171526,0.0006964181519850676,0.651,0.642604777232204,0.0005222168426045615,0.651
0.7,0.6394393371162137,0.0009327827096949903,0.651,0.6419698038119643,0.0008108254989671604,0.651,0.64049637562617,0.000672806573920659,0.651
0.8,0.638850793519831,0.001011799679025982,0.651,0.6405290709230843,0.0009279026106058241,0.651,0.6390916814566617,0.0008339123615028754,0.651
0.9,0.6382591045390196,0.0010903697172288673,0.651,0.6390916987058477,0.0010471998814860495,0.651,0.6381946087821103,0.0010004839804312882,0.651
1.0,0.637663805835662,0.0011683983935374398,0.651,0.637663805835662,0.0011683983935374398,0.651,0.637663805835662,0.0011683983935374398,0.651
