Alpha,Alpha_Ganite,Loss YCF Ganite,ATE YCF Ganite,ACC YCF Ganite
0.0,-50,1.0543873075888364,-0.012656566991226859,0.2005
0.0,-40,0.9901110828391074,-0.00966239462350621,0.2005
0.0,-30,0.928553884664881,-0.007092962820447357,0.1985
0.0,-20,0.8683211061829235,-0.004834074056371929,0.212
0.0,-10,0.723697208065763,-0.00047957599505921156,0.608
0.0,-9,0.6503971912519698,0.0003839489365438098,0.623
0.0,-8,0.5608514115008357,0.003625056113365277,0.623
0.0,-7,0.49047609477695975,0.009151508126899022,0.804
0.0,-6,0.4381967826641136,0.014570506744948086,0.872
0.0,-5,0.40124261684540474,0.018718780188499484,0.883
0.0,-4,0.3740401348656071,0.02155472080603804,0.8855
0.0,-3,0.3522620623971454,0.02343714228632232,0.8865
0.0,-2,0.3336406809189054,0.02469867723732755,0.887
0.0,-1,1.2936103404281156,-0.024598121658471528,0.1715
0.0,0,1.1708802219188321,-0.020085543378909776,0.1725
0.0,1,1.073014279512464,-0.01580012136300979,0.1725
0.0,2,0.9877679075329995,-0.01182222186632259,0.1735
0.0,3,0.8015374869732439,-0.0026518028128689197,0.1785
0.0,4,0.6907977924242829,4.7015775069159105e-05,0.623
0.0,5,0.6291370659443168,0.0011899131520112238,0.623
0.0,6,0.5401747005755451,0.005750106893203766,0.8105
0.0,7,0.4662847182812664,0.011901980620537156,0.8715
0.0,8,0.4143231961784626,0.01734893996297371,0.882
0.0,9,0.3794847478953816,0.021058918449004538,0.8845
0.0,10,0.3541250910090166,0.023328731622692556,0.886
0.0,20,0.3336406809189054,0.02469867723732755,0.887
0.0,30,1.047977237563409,-0.012534715683079845,0.2
0.0,40,0.988419708771984,-0.009580031978585257,0.201
0.0,50,0.9275495703056609,-0.0070217486433316045,0.1995
0.033,-50,0.8679239236699398,-0.0047744923643989745,0.2105
0.033,-40,0.7231579033535813,-0.0004672884737273453,0.605
0.033,-30,0.6504332673439674,0.00037914905137026444,0.623
0.033,-20,0.5611920738155614,0.0036350550523446268,0.623
0.033,-10,0.49061716273430056,0.009174508092835043,0.806
0.033,-9,0.4382067487305702,0.01460376233423255,0.872
0.033,-8,0.40120481695578214,0.018752522571178987,0.883
0.033,-7,0.37400323803844787,0.021580471431294823,0.8855
0.033,-6,0.3522425109804599,0.023450663465358068,0.887
0.033,-5,0.3336406809189054,0.02469867723732755,0.887
0.033,-4,1.4314721220826059,-0.001111131995256212,0.377
0.033,-3,1.2209744783247047,-0.0001759540527435377,0.377
0.033,-2,1.088791741888798,0.0011922284084809054,0.377
0.033,-1,0.9864528810696364,0.0027277954227239998,0.377
0.033,0,0.795762626792887,0.007581663312257569,0.377
0.033,1,0.7019611945248935,0.011390570322927618,0.377
0.033,2,0.6368905671997669,0.01453775383463346,0.625
0.033,3,0.5870673439438678,0.01729724559907353,0.764
0.033,4,0.42966452354960677,0.026130155511021935,0.852
0.033,5,0.3471792584160837,0.02924689567666161,0.8715
0.033,6,0.31980555220267837,0.029712397913884248,0.8695
0.033,7,0.3303307660402315,0.028200670174863385,0.8735
0.033,8,0.3336406809189054,0.02469867723732755,0.887
0.033,9,1.1529332054963843,-0.018971632037210973,0.1755
0.033,10,1.0661079573572878,-0.014817904108542057,0.177
0.033,20,0.987551857199761,-0.010902317604927214,0.18
0.033,30,0.9126370793070672,-0.007503875298313534,0.187
0.033,40,0.749868695873751,-0.0009003052244287435,0.2045
0.033,50,0.674275107098538,0.00012688596189969203,0.623
0.066,-50,0.5956660563928806,0.0023304201174528805,0.6395
0.066,-40,0.5148339571703541,0.0074243813677151715,0.823
0.066,-30,0.45203189004978717,0.013227416423832516,0.874
0.066,-20,0.40775801751412555,0.018019493369065054,0.8825
0.066,-10,0.37677001424735623,0.021299383986442377,0.8845
0.066,-9,0.35319280234650885,0.02338511813251465,0.8865
0.066,-8,0.3336406809189054,0.02469867723732755,0.887
0.066,-7,1.0526508705918571,-0.012704650701299725,0.2
0.066,-6,0.99256896359188,-0.009736391375804676,0.201
0.066,-5,0.9313387576069392,-0.00716490873522635,0.1995
0.066,-4,0.871441483175362,-0.004902382932413962,0.2095
0.066,-3,0.7248040567416155,-0.0005145040347069862,0.5965
0.066,-2,0.6519247465221772,0.0003691878151503847,0.623
0.066,-1,0.562243867685406,0.00356123760297522,0.623
0.066,0,0.49132392070606284,0.009092457647235874,0.8045
0.066,1,0.4386272880360809,0.014537682211990699,0.872
0.066,2,0.4014327052826732,0.018707486408982787,0.8835
0.066,3,0.3741172224808903,0.02155339210133267,0.8855
