,0
0,0
1,1
2,0
3,1
4,1
5,1
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,0
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,0
46,1
47,0
48,1
49,1
50,1
51,1
52,0
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,0
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,1
86,1
87,1
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,1
98,0
99,0
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,0
130,1
131,0
132,0
133,1
134,0
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,1
148,1
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,0
171,0
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,1
180,1
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,0
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,1
214,1
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,1
232,0
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,0
261,0
262,1
263,0
264,0
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,0
273,0
274,1
275,0
276,1
277,1
278,0
279,0
280,0
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,0
315,0
316,1
317,1
318,1
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,0
342,0
343,0
344,1
345,0
346,0
347,1
348,1
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,0
357,0
358,1
359,0
360,0
361,1
362,1
363,0
364,1
365,0
366,1
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,1
397,0
398,0
399,1
400,0
401,0
402,1
403,0
404,1
405,0
406,1
407,1
408,1
409,1
410,1
411,0
412,0
413,0
414,1
415,1
416,0
417,0
418,1
419,0
420,1
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,0
431,0
432,1
433,1
434,0
435,0
436,0
437,1
438,1
439,1
440,0
441,1
442,0
443,0
444,0
445,1
446,1
447,0
448,0
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,0
464,0
465,0
466,0
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,1
475,1
476,1
477,1
478,0
479,1
480,0
481,1
482,1
483,1
484,1
485,0
486,1
487,1
488,0
489,1
490,0
491,1
492,1
493,1
494,1
495,0
496,1
497,0
498,0
499,1
500,0
501,1
502,1
503,1
504,1
505,0
506,0
507,0
508,0
509,0
510,1
511,0
512,0
513,0
514,1
515,0
516,1
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,0
526,1
527,1
528,1
529,0
530,0
531,1
532,1
533,0
534,0
535,0
536,1
537,1
538,0
539,1
540,0
541,1
542,0
543,0
544,0
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,0
553,1
554,1
555,1
556,1
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,1
565,0
566,0
567,0
568,0
569,0
570,1
571,1
572,1
573,1
574,1
575,1
576,0
577,0
578,0
579,0
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,1
588,1
589,0
590,1
591,1
592,0
593,1
594,1
595,1
596,1
597,0
598,0
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,0
607,0
608,1
609,0
610,1
611,0
612,0
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,1
621,0
622,0
623,0
624,0
625,0
626,0
627,1
628,1
629,1
630,0
631,1
632,0
633,0
634,1
635,0
636,0
637,0
638,0
639,1
640,1
641,0
642,1
643,1
644,0
645,0
646,0
647,1
648,0
649,0
650,0
651,0
652,1
653,0
654,1
655,1
656,1
657,0
658,1
659,1
660,0
661,0
662,1
663,0
664,0
665,1
666,1
667,1
668,0
669,0
670,0
671,1
672,1
673,0
674,0
675,1
676,1
677,0
678,1
679,0
680,1
681,0
682,1
683,1
684,0
685,1
686,1
687,1
688,0
689,1
690,1
691,0
692,1
693,1
694,1
695,1
696,1
697,1
698,0
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,0
707,0
708,1
709,1
710,1
711,1
712,0
713,0
714,1
715,1
716,0
717,1
718,1
719,0
720,1
721,0
722,1
723,1
724,0
725,0
726,0
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,0
735,1
736,1
737,1
738,0
739,0
740,0
741,1
742,0
743,1
744,0
745,0
746,0
747,1
748,0
749,1
750,1
751,0
752,0
753,0
754,0
755,1
756,1
757,0
758,0
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,0
767,1
768,0
769,1
770,0
771,1
772,0
773,1
774,1
775,1
776,0
777,1
778,0
779,0
780,1
781,1
782,1
783,0
784,1
785,0
786,0
787,0
788,1
789,1
790,1
791,0
792,1
793,0
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,0
802,0
803,1
804,1
805,1
806,1
807,0
808,1
809,0
810,1
811,0
812,1
813,0
814,0
815,1
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,0
824,1
825,1
826,1
827,0
828,0
829,1
830,0
831,0
832,1
833,1
834,1
835,0
836,1
837,0
838,0
839,1
840,0
841,0
842,1
843,0
844,0
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,0
853,0
854,1
855,0
856,1
857,1
858,0
859,0
860,0
861,0
862,1
863,0
864,1
865,1
866,0
867,0
868,1
869,1
870,1
871,0
872,0
873,0
874,1
875,1
876,1
877,1
878,1
879,0
880,0
881,0
882,0
883,0
884,1
885,1
886,1
887,1
888,1
889,0
890,1
891,1
892,1
893,0
894,0
895,1
896,0
897,1
898,0
899,0
900,0
901,1
902,1
903,1
904,1
905,0
906,1
907,0
908,1
909,0
910,0
911,0
912,1
913,1
914,0
915,1
916,0
917,0
918,0
919,0
920,0
921,1
922,1
923,0
924,1
925,0
926,1
927,1
928,1
929,1
930,1
931,1
932,0
933,0
934,1
935,0
936,0
937,1
938,0
939,1
940,1
941,0
942,0
943,0
944,0
945,1
946,1
947,1
948,1
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,1
970,0
971,0
972,0
973,1
974,0
975,0
976,0
977,1
978,1
979,1
980,0
981,0
982,1
983,1
984,1
985,1
986,1
987,0
988,1
989,0
990,1
991,0
992,1
993,0
994,1
995,0
996,1
997,1
998,0
999,0
1000,0
1001,1
1002,0
1003,1
1004,1
1005,1
1006,0
1007,0
1008,0
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,0
1016,0
1017,0
1018,1
1019,1
1020,1
1021,0
1022,1
1023,0
1024,0
1025,1
1026,1
1027,1
1028,0
1029,0
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,0
1041,1
1042,0
1043,1
1044,1
1045,0
1046,0
1047,0
1048,0
1049,0
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,0
1059,1
1060,0
