,0
0,1
1,0
2,1
3,0
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,0
17,0
18,0
19,0
20,1
21,1
22,1
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,1
57,0
58,0
59,1
60,0
61,1
62,1
63,1
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,1
72,0
73,0
74,1
75,1
76,1
77,0
78,1
79,0
80,1
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,1
95,1
96,1
97,0
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,1
114,1
115,1
116,1
117,0
118,0
119,1
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,0
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,1
162,0
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,0
179,1
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,0
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,0
205,1
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,0
220,1
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,1
269,0
270,0
271,1
272,0
273,1
274,0
275,0
276,1
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,0
286,0
287,1
288,0
289,1
290,0
291,0
292,0
293,1
294,0
295,0
296,0
297,1
298,1
299,1
300,1
301,1
302,0
303,1
304,0
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,1
313,0
314,1
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,1
324,1
325,1
326,0
327,1
328,0
329,1
330,1
331,1
332,0
333,0
334,0
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,1
347,0
348,1
349,1
350,0
351,1
352,0
353,1
354,1
355,0
356,0
357,1
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,1
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,1
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,0
418,0
419,1
420,0
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,1
430,1
431,0
432,0
433,0
434,0
435,0
436,1
437,0
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,1
446,0
447,1
448,1
449,0
450,1
451,1
452,1
453,0
454,0
455,0
456,0
457,0
458,0
459,1
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,1
468,0
469,1
470,0
471,1
472,1
473,1
474,1
475,0
476,1
477,1
478,0
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,1
488,0
489,0
490,1
491,1
492,1
493,1
494,0
495,0
496,0
497,0
498,1
499,0
500,1
501,1
502,0
503,0
504,1
505,1
506,1
507,0
508,1
509,1
510,0
511,1
512,0
513,1
514,0
515,1
516,1
517,0
518,1
519,0
520,0
521,1
522,0
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,1
532,0
533,0
534,1
535,0
536,0
537,1
538,0
539,0
540,1
541,0
542,0
543,1
544,0
545,0
546,1
547,1
548,1
549,0
550,1
551,0
552,0
553,1
554,0
555,1
556,1
557,1
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,0
567,1
568,1
569,0
570,1
571,1
572,0
573,1
574,0
575,1
576,1
577,0
578,0
579,1
580,0
581,1
582,0
583,0
584,1
585,0
586,1
587,1
588,1
589,0
590,0
591,0
592,1
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,1
601,0
602,1
603,1
604,0
605,1
606,1
607,1
608,0
609,0
610,1
611,1
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,1
620,1
621,1
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,1
630,0
631,0
632,1
633,0
634,1
635,1
636,0
637,0
638,1
639,1
640,0
641,0
642,1
643,1
644,1
645,0
646,0
647,0
648,1
649,1
650,0
651,0
652,1
653,0
654,1
655,0
656,0
657,1
658,0
659,0
660,1
661,0
662,0
663,1
664,1
665,1
666,1
667,0
668,0
669,1
670,0
671,1
672,1
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,0
687,0
688,1
689,0
690,0
691,0
692,1
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,1
703,1
704,0
705,1
706,1
707,0
708,1
709,0
710,1
711,1
712,0
713,0
714,0
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,1
723,0
724,1
725,0
726,1
727,1
728,0
729,0
730,1
731,0
732,1
733,0
734,0
735,0
736,1
737,1
738,1
739,0
740,0
741,0
742,1
743,1
744,0
745,0
746,1
747,0
748,1
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,1
757,1
758,0
759,0
760,0
761,0
762,0
763,1
764,1
765,0
766,1
767,1
768,0
769,1
770,1
771,1
772,0
773,0
774,0
775,1
776,0
777,1
778,0
779,0
780,1
781,0
782,1
783,0
784,1
785,0
786,1
787,0
788,0
789,0
790,0
791,1
792,0
793,1
794,0
795,0
796,0
797,0
798,1
799,1
800,0
801,0
802,1
803,1
804,1
805,0
806,1
807,0
808,0
809,1
810,0
811,0
812,1
813,0
814,0
815,1
816,0
817,0
818,1
819,0
820,0
821,1
822,0
823,1
824,1
825,1
826,0
827,1
828,0
829,1
830,0
831,1
832,0
833,0
834,1
835,1
836,1
837,1
838,1
839,1
840,0
841,0
842,0
843,1
844,0
845,1
846,1
847,0
848,1
849,1
850,0
851,0
852,1
853,0
854,0
855,1
856,1
857,0
858,1
859,0
860,0
861,1
862,0
863,0
864,0
865,1
866,1
867,0
868,0
869,1
870,1
871,0
872,0
873,0
874,1
875,0
876,1
877,1
878,1
879,0
880,0
881,0
882,1
883,0
884,0
885,1
886,1
887,0
888,0
889,0
890,0
891,1
892,1
893,1
894,0
895,1
896,1
897,1
898,1
899,1
900,1
901,0
902,0
903,0
904,0
905,0
906,1
907,0
908,1
909,1
910,0
911,1
912,1
913,0
914,0
915,0
916,1
917,1
918,0
919,1
920,1
921,1
922,0
923,1
924,1
925,1
926,0
927,0
928,1
929,0
930,1
931,0
932,0
933,1
934,0
935,0
936,0
937,0
938,1
939,0
940,1
941,1
942,0
943,1
944,0
945,1
946,1
947,1
948,0
949,1
950,0
951,1
952,1
953,0
954,1
955,1
956,1
957,1
958,0
959,1
960,1
961,0
962,1
963,0
964,1
965,1
966,1
967,0
968,0
969,1
970,1
971,1
972,1
973,1
974,0
975,1
976,1
977,0
978,1
979,0
980,1
981,0
982,0
983,0
984,1
985,1
986,0
987,1
988,0
989,0
990,0
991,0
992,0
993,1
994,1
995,1
996,1
997,0
998,0
999,0
1000,1
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,0
1011,0
1012,1
1013,1
1014,1
1015,1
1016,1
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,1
1030,1
1031,1
1032,1
1033,0
1034,0
1035,1
1036,1
1037,1
1038,1
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,0
1046,1
1047,1
1048,1
1049,0
1050,0
1051,1
1052,1
1053,0
1054,1
1055,1
1056,1
1057,0
1058,0
1059,0
1060,1
1061,0
1062,1
1063,1
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,0
1071,1
1072,0
1073,1
1074,1
1075,0
1076,1
1077,1
1078,1
1079,1
1080,0
1081,0
1082,0
1083,1
1084,1
1085,0
1086,1
1087,0
1088,0
1089,0
1090,1
1091,1
1092,1
1093,0
1094,1
1095,1
1096,1
1097,0
1098,0
1099,1
1100,1
1101,1
1102,1
1103,1
1104,0
1105,0
1106,0
1107,0
1108,0
1109,1
1110,1
1111,1
1112,1
1113,0
1114,0
1115,1
1116,0
1117,1
1118,1
1119,1
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,0
1137,1
1138,0
1139,1
1140,0
1141,0
1142,1
1143,1
1144,0
1145,1
1146,1
1147,1
1148,0
1149,0
1150,0
1151,0
1152,1
1153,0
1154,1
1155,1
1156,1
1157,1
1158,1
1159,0
1160,1
1161,0
1162,1
1163,1
1164,1
1165,1
1166,1
1167,1
1168,0
1169,0
1170,1
1171,1
1172,0
1173,0
1174,0
1175,1
1176,0
1177,0
1178,0
1179,1
1180,0
1181,1
1182,1
1183,0
1184,1
1185,1
1186,1
1187,0
1188,0
1189,0
1190,0
1191,1
1192,1
1193,1
1194,0
1195,0
1196,0
1197,1
1198,1
1199,0
1200,0
1201,0
1202,0
1203,0
1204,1
1205,0
1206,0
1207,1
1208,1
1209,0
1210,0
1211,1
1212,1
1213,0
1214,1
1215,0
1216,0
1217,0
1218,1
1219,1
1220,1
1221,1
1222,1
1223,1
1224,1
1225,0
1226,0
1227,0
1228,1
1229,0
1230,1
