Alpha,Loss YCF Y,ATE YCF Y,ACC YCF Y,Loss YCF MANUAL,ATE YCF MANUAL,ACC YCF MANUAL,Loss YCF RAND,ATE YCF RAND,ACC YCF RAND
0.0,0.3613822701835352,0.023988628131206613,0.877,0.36469656746735,0.051106095412771446,0.8345,0.6973212233051379,-9.310615240343267e-06,0.377
0.033,0.35543471624041356,0.024067718669071203,0.879,0.36052785643044133,0.051089286655660704,0.8365,0.6860326236887995,5.4063005921589635e-05,0.8435
0.066,0.34963779447176074,0.024076044133253593,0.882,0.35612596952671866,0.050977151245454766,0.8375,0.6547044131101231,0.0006726312309800475,0.849
0.1,0.3438155024569543,0.02401920195702134,0.8835,0.3513124560753109,0.050747396137457046,0.838,0.6158242370759814,0.0021512054088916877,0.846
0.2,0.32752868807175406,0.023568182247834968,0.8895,0.3352506829356092,0.049220373723788624,0.846,0.5272258368930712,0.008237682579203875,0.849
0.3,0.3124456561291866,0.022905504552501732,0.8975,0.3165638926687833,0.046127315342097464,0.855,0.4581357076041893,0.014352958918092518,0.8555
0.4,0.2985502743584159,0.022227744943659533,0.9015,0.3278251843506956,0.04146907681327461,0.8585,0.3959002718349323,0.018995190029838183,0.8675
0.5,0.2858378304207456,0.021610121056233278,0.908,0.3092918451044416,0.037454503033886866,0.8685,0.3716462400967246,0.02152908142371901,0.8805
0.6,0.2742832079465936,0.021051686064415542,0.9105,0.29100571666757935,0.03261242755342808,0.884,0.33150462676307607,0.021979913672809825,0.8925
0.7,0.2638286532244663,0.020531484644424114,0.914,0.27470330079516997,0.028299147738666486,0.897,0.2999647731866348,0.021396674013896777,0.905
0.8,0.2543904096624949,0.02003400186844806,0.921,0.2606608484708495,0.024804355148529633,0.905,0.2748287320879065,0.020625414132657838,0.9105
0.9,0.24587195142527743,0.019552858539553686,0.924,0.24857671856763716,0.021793236326865806,0.9195,0.25461250762705995,0.01984243564860444,0.9225
1.0,0.23817487946206853,0.019087815506866446,0.927,0.23817487946206853,0.019087815506866446,0.927,0.23817487946206853,0.019087815506866446,0.927
