,0
0,1
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,1
38,1
39,1
40,1
41,0
42,1
43,0
44,0
45,0
46,1
47,1
48,0
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,1
134,0
135,1
136,0
137,1
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,0
147,1
148,0
149,0
150,0
151,1
152,0
153,1
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,0
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,1
187,0
188,1
189,0
190,0
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,0
206,0
207,1
208,1
209,0
210,0
211,1
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,1
223,1
224,0
225,1
226,1
227,1
228,1
229,1
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,0
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,1
253,1
254,1
255,1
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,0
266,1
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,0
282,1
283,0
284,1
285,0
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,1
295,0
296,1
297,1
298,0
299,0
300,0
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,0
311,1
312,0
313,1
314,1
315,1
316,1
317,1
318,1
319,0
320,1
321,0
322,1
323,1
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,1
334,1
335,1
336,0
337,1
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,0
366,1
367,0
368,1
369,0
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,1
395,1
396,1
397,1
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,1
412,1
413,1
414,1
415,0
416,1
417,0
418,1
419,0
420,0
421,1
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,1
430,0
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,1
452,0
453,1
454,1
455,0
456,0
457,1
458,1
459,0
460,1
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,1
469,1
470,1
471,1
472,0
473,1
474,1
475,1
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,0
502,0
503,0
504,0
505,1
506,1
507,1
508,1
509,0
510,1
511,0
512,0
513,0
514,0
515,1
516,1
517,0
518,1
519,0
520,1
521,0
522,1
523,0
524,1
525,1
526,1
527,0
528,1
529,0
530,1
531,0
532,1
533,1
534,0
535,0
536,1
537,0
538,0
539,0
540,1
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,1
551,0
552,1
553,0
554,1
555,0
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,1
569,0
570,1
571,0
572,1
573,1
574,1
575,0
576,0
577,0
578,1
579,1
580,0
581,1
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,1
602,0
603,1
604,0
605,1
606,0
607,1
608,0
609,0
610,0
611,1
612,1
613,1
614,0
615,1
616,0
617,0
618,1
619,0
620,0
621,1
622,0
623,0
624,1
625,0
626,1
627,0
628,1
629,1
630,1
631,0
632,1
633,1
634,1
635,0
636,0
637,1
638,0
639,1
640,0
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,0
652,1
653,1
654,1
655,0
656,0
657,1
658,0
659,1
660,0
661,0
662,0
663,1
664,0
665,0
666,1
667,0
668,0
669,1
670,0
671,1
672,1
673,1
674,1
675,1
676,0
677,0
678,1
679,0
680,0
681,1
682,0
683,0
684,0
685,1
686,1
687,1
688,1
689,1
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,1
698,0
699,0
700,1
701,1
702,0
703,1
704,1
705,0
706,1
707,0
708,1
709,1
710,0
711,1
712,0
713,0
714,0
715,1
716,0
717,0
718,0
719,1
720,1
721,0
722,0
723,1
724,0
725,1
726,0
727,1
728,0
729,1
730,0
731,0
732,0
733,1
734,0
735,1
736,1
737,0
738,0
739,1
740,1
741,0
742,1
743,1
744,0
745,1
746,0
747,0
748,0
749,1
750,1
751,1
752,0
753,1
754,1
755,0
756,1
757,0
758,0
759,0
760,1
761,1
762,0
763,1
764,1
765,0
766,0
767,0
768,1
769,1
770,0
771,1
772,1
773,1
774,1
775,1
776,1
777,1
778,1
779,1
780,0
781,1
782,0
783,1
784,0
785,1
786,0
787,1
788,0
789,1
790,1
791,0
792,0
793,1
794,0
795,0
796,0
797,0
798,1
799,1
800,1
801,1
802,1
803,1
804,0
805,0
806,1
807,0
808,0
809,1
810,1
811,0
812,1
